@relation 'n_gram_feature_crossproject_manual_part1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-5842,last-weka.filters.unsupervised.attribute.Remove-R5843_n_gram_feature_crossproject_manual_part2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-6121,last-weka.filters.unsupervised.attribute.Remove-R6122_n_gram_feature_crossproject_manual_part3-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-6239,last-weka.filters.unsupervised.attribute.Remove-R6240_n_gram_feature_crossproject_manual_part4-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-6919,last-weka.filters.unsupervised.attribute.Remove-R6920_n_gram_feature_crossproject_manual_part5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-6064,last-weka.filters.unsupervised.attribute.Remove-R6065_n_gram_feature_crossproject_manual_part6-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-5819,last-weka.filters.unsupervised.attribute.Remove-R5820_n_gram_feature_crossproject_manual_part7-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-6355,last-weka.filters.unsupervised.attribute.Remove-R6356_n_gram_feature_crossproject_manual_part8-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-4455,last-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-32187,last-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute Feature68800 numeric
@attribute Feature173710 numeric
@attribute Feature513420 numeric
@attribute Feature276008 numeric
@attribute Feature277056 numeric
@attribute Feature61034 numeric
@attribute Feature91091 numeric
@attribute Feature66722 numeric
@attribute Feature92159 numeric
@attribute Feature130021 numeric
@attribute Feature512349 numeric
@attribute Feature36317 numeric
@attribute Feature25702 numeric
@attribute Feature4113 numeric
@attribute Feature53517 numeric
@attribute Feature180908 numeric
@attribute Feature124241 numeric
@attribute Feature294820 numeric
@attribute Feature43121 numeric
@attribute Feature313070 numeric
@attribute Feature244801 numeric
@attribute Feature515537 numeric
@attribute Feature515465 numeric
@attribute Feature267357 numeric
@attribute Feature229049 numeric
@attribute Feature233610 numeric
@attribute Feature276689 numeric
@attribute Feature237292 numeric
@attribute Feature249817 numeric
@attribute Feature391086 numeric
@attribute Feature247716 numeric
@attribute Feature39401 numeric
@attribute Feature275222 numeric
@attribute Feature405056 numeric
@attribute Feature385355 numeric
@attribute Feature356667 numeric
@attribute Feature368491 numeric
@attribute Feature66783 numeric
@attribute Feature524051 numeric
@attribute Feature38202 numeric
@attribute Feature116700 numeric
@attribute Feature103620 numeric
@attribute Feature125282 numeric
@attribute Feature154595 numeric
@attribute Feature166141 numeric
@attribute Feature108678 numeric
@attribute Feature171846 numeric
@attribute Feature80310 numeric
@attribute Feature275831 numeric
@attribute Feature306249 numeric
@attribute Feature330706 numeric
@attribute Feature290836 numeric
@attribute Feature305656 numeric
@attribute Feature310140 numeric
@attribute Feature294768 numeric
@attribute Feature301390 numeric
@attribute Feature294786 numeric
@attribute Feature57706 numeric
@attribute Feature321594 numeric
@attribute Feature50901 numeric
@attribute Feature289620 numeric
@attribute Feature322298 numeric
@attribute Feature338428 numeric
@attribute Feature291477 numeric
@attribute Feature330521 numeric
@attribute Feature349772 numeric
@attribute Feature61965 numeric
@attribute Feature54186 numeric
@attribute Feature54582 numeric
@attribute Feature7324 numeric
@attribute Feature305087 numeric
@attribute Feature340466 numeric
@attribute Feature322277 numeric
@attribute Feature347045 numeric
@attribute Feature39071 numeric
@attribute Feature364856 numeric
@attribute Feature363155 numeric
@attribute Feature352772 numeric
@attribute Feature351229 numeric
@attribute Feature354004 numeric
@attribute Feature360089 numeric
@attribute Feature60646 numeric
@attribute Feature66587 numeric
@attribute Feature66067 numeric
@attribute Feature66325 numeric
@attribute Feature27326 numeric
@attribute Feature26616 numeric
@attribute Feature367947 numeric
@attribute Feature369375 numeric
@attribute Feature369416 numeric
@attribute Feature367636 numeric
@attribute Feature367358 numeric
@attribute Feature367598 numeric
@attribute Feature369927 numeric
@attribute Feature384052 numeric
@attribute Feature381179 numeric
@attribute Feature377766 numeric
@attribute Feature369585 numeric
@attribute Feature382683 numeric
@attribute Feature385810 numeric
@attribute Feature391213 numeric
@attribute Feature405760 numeric
@attribute Feature389957 numeric
@attribute Feature395657 numeric
@attribute Feature399325 numeric
@attribute Feature310567 numeric
@attribute Feature147119 numeric
@attribute Feature147143 numeric
@attribute Feature193284 numeric
@attribute Feature192862 numeric
@attribute Feature188390 numeric
@attribute Feature155406 numeric
@attribute Feature160543 numeric
@attribute Feature193293 numeric
@attribute Feature193995 numeric
@attribute Feature168885 numeric
@attribute Feature184558 numeric
@attribute Feature189789 numeric
@attribute Feature176372 numeric
@attribute Feature186258 numeric
@attribute Feature76981 numeric
@attribute Feature95095 numeric
@attribute Feature139268 numeric
@attribute Feature107335 numeric
@attribute Feature116666 numeric
@attribute Feature134572 numeric
@attribute Feature125400 numeric
@attribute Feature135724 numeric
@attribute Feature127501 numeric
@attribute Feature86443 numeric
@attribute Feature72469 numeric
@attribute Feature91087 numeric
@attribute Feature123468 numeric
@attribute Feature97901 numeric
@attribute Feature103139 numeric
@attribute Feature94662 numeric
@attribute Feature133340 numeric
@attribute Feature75998 numeric
@attribute Feature108959 numeric
@attribute Feature76030 numeric
@attribute Feature231932 numeric
@attribute Feature227336 numeric
@attribute Feature261275 numeric
@attribute Feature286796 numeric
@attribute Feature336142 numeric
@attribute Feature257554 numeric
@attribute Feature237180 numeric
@attribute Feature259867 numeric
@attribute Feature279143 numeric
@attribute Feature295937 numeric
@attribute Feature327586 numeric
@attribute Feature223410 numeric
@attribute Feature166180 numeric
@attribute Feature199251 numeric
@attribute Feature189399 numeric
@attribute Feature157724 numeric
@attribute Feature150784 numeric
@attribute Feature163420 numeric
@attribute Feature241427 numeric
@attribute Feature533121 numeric
@attribute Feature474704 numeric
@attribute Feature499686 numeric
@attribute Feature535708 numeric
@attribute Feature530109 numeric
@attribute Feature498238 numeric
@attribute Feature512575 numeric
@attribute Feature476125 numeric
@attribute Feature461454 numeric
@attribute Feature478465 numeric
@attribute Feature464049 numeric
@attribute Feature43701 numeric
@attribute Feature477121 numeric
@attribute Feature44376 numeric
@attribute Feature486328 numeric
@attribute Feature527200 numeric
@attribute Feature511690 numeric
@attribute Feature130141 numeric
@attribute Feature320911 numeric
@attribute Feature192732 numeric
@attribute Feature337189 numeric
@attribute Feature51900 numeric
@attribute Feature295557 numeric
@attribute Feature450171 numeric
@attribute Feature373025 numeric
@attribute Feature325093 numeric
@attribute Feature100848 numeric
@attribute Feature449025 numeric
@attribute Feature474624 numeric
@attribute Feature337965 numeric
@attribute Feature98349 numeric
@attribute Feature537137 numeric
@attribute Feature166088 numeric
@attribute Feature66339 numeric
@attribute Feature449519 numeric
@attribute Feature55251 numeric
@attribute Feature335491 numeric
@attribute Feature368821 numeric
@attribute Feature330152 numeric
@attribute Feature523128 numeric
@attribute Feature222910 numeric
@attribute Feature355844 numeric
@attribute Feature132184 numeric
@attribute Feature325034 numeric
@attribute Feature360555 numeric
@attribute Feature340965 numeric
@attribute Feature432281 numeric
@attribute Feature416815 numeric
@attribute Feature450664 numeric
@attribute Feature450102 numeric
@attribute Feature450092 numeric
@attribute Feature489247 numeric
@attribute Feature458301 numeric
@attribute Feature167101 numeric
@attribute Feature68679 numeric
@attribute Feature66133 numeric
@attribute Feature180824 numeric
@attribute Feature520241 numeric
@attribute Feature15578 numeric
@attribute Feature154208 numeric
@attribute Feature260297 numeric
@attribute Feature420882 numeric
@attribute Feature131540 numeric
@attribute Feature249669 numeric
@attribute Feature129296 numeric
@attribute Feature222894 numeric
@attribute Feature366277 numeric
@attribute Feature61944 numeric
@attribute Feature148284 numeric
@attribute Feature463604 numeric
@attribute Feature214791 numeric
@attribute Feature64339 numeric
@attribute Feature131978 numeric
@attribute Feature82359 numeric
@attribute Feature339701 numeric
@attribute Feature525832 numeric
@attribute Feature59024 numeric
@attribute Feature162916 numeric
@attribute Feature39936 numeric
@attribute Feature355914 numeric
@attribute Feature135096 numeric
@attribute Feature339700 numeric
@attribute Feature70033 numeric
@attribute Feature24770 numeric
@attribute Feature98196 numeric
@attribute Feature351356 numeric
@attribute Feature67141 numeric
@attribute Feature53371 numeric
@attribute Feature138068 numeric
@attribute Feature477136 numeric
@attribute Feature40315 numeric
@attribute Feature292384 numeric
@attribute Feature286156 numeric
@attribute Feature162776 numeric
@attribute Feature170020 numeric
@attribute Feature298062 numeric
@attribute Feature210845 numeric
@attribute Feature129704 numeric
@attribute Feature359694 numeric
@attribute Feature108698 numeric
@attribute Feature365635 numeric
@attribute Feature365640 numeric
@attribute Feature157007 numeric
@attribute Feature98951 numeric
@attribute Feature73447 numeric
@attribute Feature471661 numeric
@attribute Feature445277 numeric
@attribute Feature72241 numeric
@attribute Feature90360 numeric
@attribute Report_Type {FEATURE,BUG}

@data
0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUG
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,BUG
