' Feature 32815',' Feature 36524',' Feature 37536',' Feature 58915',' Feature 38850',' Feature 35488',' Feature 16459',' Feature 30727',' Feature 29155',' Feature 14992',' Feature 38428',' Feature 3358',' Feature 19811',' Feature 48493',' Feature 7065',' Feature 32247',' Feature 14994',' Feature 30700',' Feature 22113',' Feature 30757',' Feature 28973',' Feature 7125',' Feature 10727',' Feature 43608',' Feature 32364',' Feature 10695',' Feature 12348',' Feature 40141',' Feature 15626',' Feature 7070',' Feature 12427',' Feature 34069',' Feature 38282',' Feature 2680',' Feature 34393',' Feature 62483',' Feature 30667',' Feature 41729',' Feature 2497',' Feature 29390',' Feature 4022',' Feature 14829',' Feature 62010',' Feature 18345',' Feature 4029',' Feature 15016',' Feature 49927',' Feature 32573',' Feature 27690',' Feature 39359',' Feature 46366',' Feature 62875',' Feature 49096',' Feature 14384',' Feature 58881',' Feature 2452',' Feature 60151',' Feature 46449',' Feature 56964',' Feature 26897',' Feature 14226',' Feature 32927',' Feature 11448',' Feature 1910',' Feature 36124',' Feature 48845',' Feature 18447',' Feature 14670',' Feature 36455',' Feature 14894',' Feature 7087',' Feature 6607',' Feature 37435',' Feature 18982',' Feature 12207',' Feature 1274',' Feature 20860',' Feature 13332',' Feature 22393',' Feature 35956',' Feature 2943',' Feature 53456',' Feature 4316',' Feature 38943',' Feature 22074',' Feature 13921',' Feature 42845',' Feature 43714',' Feature 4656',' Feature 8726',' Feature 23763',' Feature 37644',' Feature 14556',' Feature 50244',' Feature 12975',' Feature 6312',' Feature 36255',' Feature 27110',' Feature 2005',' Feature 14157',' Feature 33146',' Feature 50644',' Feature 43685',' Feature 9177',' Feature 21112',' Feature 1414',' Feature 39339',' Feature 8031',' Feature 41572',' Feature 37283',' Feature 16143',' Feature 31022',' Feature 42583',' Feature 46511',' Feature 14061',' Feature 45446',' Feature 2357',' Feature 54507',' Feature 8134',' Feature 36643',' Feature 17050',' Feature 11994',' Feature 54595',' Feature 2191',' Feature 61201',' Feature 61058',' Feature 45373',' Feature 19770',' Feature 10442',' Feature 30660',' Feature 368',' Feature 39132',' Feature 52511',' Feature 30861',' Feature 61200',' Feature 6772',' Feature 30766',' Feature 3233',' Feature 30956',' Feature 15386',' Feature 3086',' Feature 1640',' Feature 15612',' Feature 55528',' Feature 25734',' Feature 24303',' Feature 61481',' Feature 21675',' Feature 4655',' Feature 2684',' Feature 31137',' Feature 7781',' Feature 30740',' Feature 7099',' Feature 11970',' Feature 55435',' Feature 4913',' Feature 48262',' Feature 7184',' Feature 35760',' Feature 14297',' Feature 41844',' Feature 37603',' Feature 45364',' Feature 40857',' Feature 13029',' Feature 13043',' Feature 15962',' Feature 17043',' Feature 16288',' Feature 46339',' Feature 40628',' Feature 41106',' Feature 18696',' Feature 45491',' Feature 45286',' Feature 22376',' Feature 22054',' Feature 13310',' Feature 42274',' Feature 9758',' Feature 35711',Report_Type
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,109,0,0,0,99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,0,1,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,429,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,2,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,75,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,BUG
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,BUG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,198,0,0,0,262,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,79,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,4,0,0,0,1,0,0,0,1,1,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,54,0,0,0,125,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,6,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,BUG
