@relation 'n_gram_feature_jackrabbit_manual-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-7857,last-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Feature2804 numeric
@attribute Feature59873 numeric
@attribute Feature11790 numeric
@attribute Feature5490 numeric
@attribute Feature85861 numeric
@attribute Feature75806 numeric
@attribute Feature59116 numeric
@attribute Feature7107 numeric
@attribute Feature55883 numeric
@attribute Feature47257 numeric
@attribute Feature8978 numeric
@attribute Feature86078 numeric
@attribute Feature60843 numeric
@attribute Feature29557 numeric
@attribute Feature98803 numeric
@attribute Feature59051 numeric
@attribute Feature60654 numeric
@attribute Feature57583 numeric
@attribute Feature94033 numeric
@attribute Feature76620 numeric
@attribute Feature16802 numeric
@attribute Feature94303 numeric
@attribute Feature2749 numeric
@attribute Feature94763 numeric
@attribute Feature73282 numeric
@attribute Feature76114 numeric
@attribute Feature16097 numeric
@attribute Feature62675 numeric
@attribute Feature16272 numeric
@attribute Feature16037 numeric
@attribute Feature29792 numeric
@attribute Feature96293 numeric
@attribute Feature66053 numeric
@attribute Feature57668 numeric
@attribute Feature98009 numeric
@attribute Feature47682 numeric
@attribute Feature109004 numeric
@attribute Feature100720 numeric
@attribute Feature94776 numeric
@attribute Feature75043 numeric
@attribute Feature21221 numeric
@attribute Feature69884 numeric
@attribute Feature10770 numeric
@attribute Feature91452 numeric
@attribute Feature36778 numeric
@attribute Feature106326 numeric
@attribute Feature16462 numeric
@attribute Feature20055 numeric
@attribute Feature5712 numeric
@attribute Feature13613 numeric
@attribute Feature7297 numeric
@attribute Feature89931 numeric
@attribute Feature54486 numeric
@attribute Feature57761 numeric
@attribute Feature36887 numeric
@attribute Feature16860 numeric
@attribute Feature14201 numeric
@attribute Feature29321 numeric
@attribute Feature6368 numeric
@attribute Feature36668 numeric
@attribute Feature101742 numeric
@attribute Feature17766 numeric
@attribute Feature36670 numeric
@attribute Feature109245 numeric
@attribute Feature18557 numeric
@attribute Feature20747 numeric
@attribute Feature12697 numeric
@attribute Feature67240 numeric
@attribute Feature17875 numeric
@attribute Feature43072 numeric
@attribute Feature28205 numeric
@attribute Feature9196 numeric
@attribute Feature86965 numeric
@attribute Feature11231 numeric
@attribute Feature97969 numeric
@attribute Feature71033 numeric
@attribute Feature102531 numeric
@attribute Feature53686 numeric
@attribute Feature57062 numeric
@attribute Feature57068 numeric
@attribute Feature56906 numeric
@attribute Feature18270 numeric
@attribute Feature53461 numeric
@attribute Feature57022 numeric
@attribute Feature56905 numeric
@attribute Feature41223 numeric
@attribute Feature74603 numeric
@attribute Feature25613 numeric
@attribute Feature28602 numeric
@attribute Feature2846 numeric
@attribute Feature61086 numeric
@attribute Feature48686 numeric
@attribute Feature37487 numeric
@attribute Feature28171 numeric
@attribute Feature40956 numeric
@attribute Feature99143 numeric
@attribute Feature43708 numeric
@attribute Feature45768 numeric
@attribute Feature70936 numeric
@attribute Feature30691 numeric
@attribute Feature25361 numeric
@attribute Feature17090 numeric
@attribute Feature18725 numeric
@attribute Feature37299 numeric
@attribute Feature28141 numeric
@attribute Feature104649 numeric
@attribute Feature36647 numeric
@attribute Feature35806 numeric
@attribute Feature51865 numeric
@attribute Feature19987 numeric
@attribute Feature36577 numeric
@attribute Feature21391 numeric
@attribute Feature22547 numeric
@attribute Feature30233 numeric
@attribute Feature11265 numeric
@attribute Feature58459 numeric
@attribute Feature55081 numeric
@attribute Feature98583 numeric
@attribute Feature67464 numeric
@attribute Feature34872 numeric
@attribute Feature61896 numeric
@attribute Feature31474 numeric
@attribute Feature7836 numeric
@attribute Feature21063 numeric
@attribute Feature60089 numeric
@attribute Feature37119 numeric
@attribute Feature32766 numeric
@attribute Feature39136 numeric
@attribute Feature51352 numeric
@attribute Feature84176 numeric
@attribute Feature55133 numeric
@attribute Feature55933 numeric
@attribute Report_Type {FEATURE,BUG}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,1,0,0,6,0,BUG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,3,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,1,0,1,0,0,0,0,0,4,3,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,5,1,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BUG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FEATURE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEATURE
